city,city_ascii,lat,lng,country,admin_name,population
"Madrid","Madrid",40.4169,-3.7033,"Spain","Madrid",6211000
"Barcelona","Barcelona",41.3833,2.1833,"Spain","Catalonia",4800000
"Valencia","Valencia",39.47,-0.3764,"Spain","Valencia",1595000
"Sevilla","Sevilla",37.39,-5.99,"Spain","Andalusia",1100000
"Málaga","Malaga",36.7194,-4.42,"Spain","Andalusia",967250
"Bilbao","Bilbao",43.2569,-2.9236,"Spain","Basque Country",775000
"Zaragoza","Zaragoza",41.65,-0.8833,"Spain","Aragon",686986
"Murcia","Murcia",37.9861,-1.1303,"Spain","Murcia",672773
"Las Palmas","Las Palmas",28.1258,-15.4353,"Spain","Canary Islands",635000
"Palma","Palma",39.5667,2.65,"Spain","Balearic Islands",550000
"Lisbon","Lisbon",38.7122,-9.134,"Portugal","Lisboa",548703
"Santa Cruz","Santa Cruz",28.4667,-16.25,"Spain","Canary Islands",538000
"Aves","Aves",41.3703,-8.4101,"Portugal","Porto",425411
"Sintra","Sintra",38.7974,-9.3904,"Portugal","Lisboa",385606
"Alicante","Alicante",38.3453,-0.4831,"Spain","Valencia",358720
"Córdoba","Cordoba",37.89,-4.78,"Spain","Andalusia",323763
"Vila Nova de Gaia","Vila Nova de Gaia",41.1333,-8.6167,"Portugal","Porto",303824
"Valladolid","Valladolid",41.6528,-4.7236,"Spain","Castille-Leon",300618
"Vigo","Vigo",42.2314,-8.7124,"Spain","Galicia",293977
"Gijón","Gijon",43.5333,-5.7,"Spain","Asturias",268561
"Vitoria-Gasteiz","Vitoria-Gasteiz",42.85,-2.6833,"Spain","Basque Country",257968
"A Coruña","A Coruna",43.365,-8.41,"Spain","Galicia",249261
"Elche","Elche",38.2669,-0.6983,"Spain","Valencia",243128
"Granada","Granada",37.1781,-3.6008,"Spain","Andalusia",232717
"Porto","Porto",41.1495,-8.6108,"Portugal","Porto",231800
"Tarrasa","Tarrasa",41.57,2.013,"Spain","Catalonia",228708
"Badalona","Badalona",41.4489,2.2461,"Spain","Catalonia",227083
"Sabadell","Sabadell",41.5486,2.1075,"Spain","Catalonia",222177
"Oviedo","Oviedo",43.36,-5.845,"Spain","Asturias",220543
"Cartagena","Cartagena",37.6019,-0.9842,"Spain","Murcia",219777
"Cascais","Cascais",38.6972,-9.4217,"Portugal","Lisboa",214158
"Jerez de la Frontera","Jerez de la Frontera",36.6817,-6.1378,"Spain","Andalusia",213688
"Móstoles","Mostoles",40.3333,-3.8667,"Spain","Madrid",209639
"Pamplona","Pamplona",42.8167,-1.65,"Spain","Navarre",207777
"Almería","Almeria",36.8417,-2.4639,"Spain","Andalusia",202675
"Loures","Loures",38.8309,-9.1684,"Portugal","Lisboa",201632
"Alcalá de Henares","Alcala de Henares",40.4667,-3.3667,"Spain","Madrid",196888
"Leganés","Leganes",40.3281,-3.7644,"Spain","Madrid",194084
"Fuenlabrada","Fuenlabrada",40.2833,-3.8,"Spain","Madrid",190790
"Getafe","Getafe",40.3047,-3.7311,"Spain","Madrid",189906
"Donostia","Donostia",43.3214,-1.9856,"Spain","Basque Country",189093
"Seixal","Seixal",38.6428,-9.1061,"Portugal","Setúbal",184269
"Braga","Braga",41.5503,-8.42,"Portugal","Braga",181494
"Castellón de la Plana","Castellon de la Plana",39.9831,-0.0331,"Spain","Valencia",180379
"Almada","Almada",38.6803,-9.1583,"Portugal","Setúbal",177238
"Burgos","Burgos",42.35,-3.7067,"Spain","Castille-Leon",175895
"Albacete","Albacete",38.9956,-1.8558,"Spain","Castille-La Mancha",174137
"Santander","Santander",43.4628,-3.805,"Spain","Cantabria",174101
"Alcorcón","Alcorcon",40.35,-3.8333,"Spain","Madrid",173625
"Matosinhos","Matosinhos",41.1867,-8.6844,"Portugal","Porto",172557
"Oeiras","Oeiras",38.697,-9.3017,"Portugal","Lisboa",171658
"Amadora","Amadora",38.75,-9.2333,"Portugal","Lisboa",171454
"Gondomar","Gondomar",41.15,-8.5333,"Portugal","Porto",164257
"Guadalajara","Guadalajara",40.6337,-3.1674,"Spain","Castille-La Mancha",161683
