ID,Denomination,FK_JobTitle,LanguageId
1,Contable,1,7
2,Accountant,1,14
3,Contabilista,1,17
4,Asistente Contable,2,7
5,Accounting Assistant,2,14
6,Assistente de Contabilidade,2,17
7,Asistente Personal,4,7
8,Personal Assistant,4,14
9,Assistente Pessoal,4,17
10,Director de Contabilidad,5,7
11,Accounting Director,5,14
12,Diretor de Contabilidade,5,17
13,Becario de Contabilidad,6,7
14,Accounting Intern,6,14
15,Estagiário de Contabilidade,6,17
16,Gerente de Contabilidad,7,7
17,Accounting Manager,7,14
18,Gerente de Contabilidade,7,17
19,Técnico Contable,8,7
20,Accounting Technician,8,14
21,Técnico de contabilidade,8,17
22,Director de Cuentas,9,7
23,Accounts Director,9,14
24,Diretor de Contas,9,17
25,Gerente de Cuentas,10,7
26,Accounts Manager,10,14
27,Gerente de Contas,10,17
28,Asistente de Cuentas por Pagar,12,7
29,Accounts Payable Assistant,12,14
30,Assistente de Contas a Pagar,12,17
31,Ejecutivo de Cuentas por Pagar,13,7
32,Accounts Payable Executive,13,14
33,Executivo de Contas a Pagar,13,17
34,Becario de cuentas por pagar,14,7
35,Accounts Payable Intern,14,14
36,Estagiário de contas a pagar,14,17
37,Gerente de Cuentas por Pagar,15,7
38,Accounts Payable Manager,15,14
39,Gerente de Contas a Pagar,15,17
40,Ejecutivo de Cuentas por Cobrar,18,7
41,Accounts Receivable Executive,18,14
42,Executivo de Contas a Receber,18,17
43,Becario de cuentas por cobrar,19,7
44,Accounts Receivable Intern,19,14
45,Estagiário de contas a receber,19,17
46,Gerente de Cuentas por Cobrar,20,7
47,Accounts Receivable Manager,20,14
48,Gerente de Contas a Receber,20,17
49,Asistente de Cuentas por Cobrar,22,7
50,Accounts Receivable Technician,22,14
51,Assistente de contas a receber,22,17
52,Administrativo,23,7
53,Administrative,23,14
54,Administrativo,23,17
55,Asistente Administrativo,26,7
56,Administrative Assistant,26,14
57,Assistente Administrativo,26,17
58,Director de Administración,27,7
59,Administrative Director,27,14
60,Diretor de Administração,27,17
61,Becario Administrativo,28,7
62,Administrative Intern,28,14
63,Estagiário Administrativo,28,17
64,Gerente de Administración,29,7
65,Administrative Manager,29,14
66,Gerente de Administração,29,17
67,Técnico administrativo,30,7
68,Administrative Technician,30,14
69,Técnico Administrativo,30,17
70,Gerente de parque de atracciones,31,7
71,Amusement Park Manager,31,14
72,Gerente de parque de diversões,31,17
73,Personal de Parque de Atracciones,32,7
74,Amusement Park Staff,32,14
75,Pessoal do Parque de Diversões,32,17
76,Asistente de Facturación,33,7
77,Billing Assistant,33,14
78,Assistente de Faturação,33,17
79,Becario de Facturación,34,7
80,Billing Intern,34,14
81,Estagiário de Faturamento,34,17
82,Gerente de Facturación,35,7
83,Billing Manager,35,14
84,Gerente de Faturação,35,17
85,Técnico de Facturación,36,7
86,Billing Technician,36,14
87,Técnico de Faturação,36,17
88,Director de Presupuesto,37,7
89,Budgeting Director,37,14
